Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
JUJUY,VALLE GRANDE,2.0,14,2490.0
LA RIOJA,INDEPENDENCIA,0.0,14,2399.0
RIO NEGRO,VALCHETA,0.0,14,4300.0
SANTIAGO DEL ESTERO,MITRE,0.0,14,1440.0
LA PAMPA,HUCAL,9.0,13,7713.0
CHUBUT,TEHUELCHES,8.0,13,5947.0
SALTA,LA VIÑA,3.0,13,8888.0
NEUQUEN,CATAN LIL,0.0,13,2641.0
SALTA,GUACHIPAS,0.0,13,3491.0
SANTA CRUZ,LAGO BUENOS AIRES,25.0,12,12584.0
SAN JUAN,9 DE JULIO,18.0,12,12498.0
CATAMARCA,ANTOFAGASTA DE LA SIERRA,5.0,12,1822.0
LA PAMPA,TRENEL,4.0,12,5637.0
RIO NEGRO,ÑORQUINCO,1.0,12,1452.0
BUENOS AIRES,MONTE HERMOSO,0.0,12,8444.0
CHUBUT,LANGUIÑEO,0.0,12,2862.0
LA RIOJA,VINCHINA,0.0,11,2695.0
SALTA,LA CANDELARIA,0.0,11,7182.0
SALTA,LA POMA,0.0,11,1789.0
BUENOS AIRES,TORDILLO,0.0,10,2528.0
CHUBUT,GASTRE,0.0,10,1181.0
NEUQUEN,PICUN LEUFU,0.0,10,5087.0
SANTA CRUZ,MAGALLANES,31.0,9,12828.0
CORRIENTES,BERON DE ASTRADA,6.0,9,2808.0
NEUQUEN,COLLON CURA,4.0,9,4832.0
SANTA CRUZ,RIO CHICO,3.0,9,6271.0
CHUBUT,TELSEN,0.0,8,1608.0
JUJUY,SAN ANTONIO,0.0,8,6729.0
CHUBUT,PASO DE INDIOS,1.0,7,1882.0
LA PAMPA,CHICAL CO,0.0,7,1461.0
LA PAMPA,CURACO,6.0,6,1103.0
SAN JUAN,ZONDA,2.0,6,6674.0
LA PAMPA,CHALILEO,0.0,6,2868.0
LA RIOJA,GENERAL LAMADRID,0.0,6,1885.0
SAN JUAN,ULLUM,0.0,6,6454.0
LA PAMPA,CALEU CALEU,5.0,5,2611.0
LA PAMPA,LIMAY MAHUIDA,0.0,4,413.0
CHUBUT,FLORENTINO AMEGHINO,2.0,3,1782.0
CHUBUT,MARTIRES,0.0,3,744.0
LA PAMPA,LIHUEL CALEL,0.0,3,428.0
LA RIOJA,SANAGASTA,0.0,3,2994.0
,,0.0,,7347.0
,,0.0,,6027.0
